TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
9300,846 P-1ARAMEZ,Citywide Services Shops Facility Mezzanine Floor Construction,This project will construct a mezzanine floor at the Citywide Services Shops Facility (Aramark Building).,procurement,100,5,0,04/01/2019 12:00:00 AM,02/01/2020 12:00:00 AM,,01/01/2021 12:00:00 AM,01/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,,,,,,,Less than $1 million,Cristin Leoutsakos,07/11/2021 12:00:00 AM,"Mayoral, Private",850 East 138th Street,X360,40.802748,-73.90932,Bronx
9899,,Citywide Services Shops Elevator Reconstruction,This project will reconstruct the elevator at the Citywide Services Shops.,design,100,0,0,01/01/2021 12:00:00 AM,07/01/2021 12:00:00 AM,,07/01/2021 12:00:00 AM,07/01/2021 12:00:00 AM,04/01/2022 12:00:00 AM,,,,,,,Less than $1 million,Cristin Leoutsakos,07/11/2021 12:00:00 AM,,850 East 138th Street,X360,40.802718,-73.909456,Bronx
9578,,A. Philip Randolph Square Reconstruction,This project will reconstruct A. Philip Randolph Square.,proposed,0,0,0,,,,,,,,,,,,,Less than $1 million,,07/11/2021 12:00:00 AM,Borough President,"7th Avenue, St. Nicholas Avenue, West 117th Street",M021,40.803901,-73.952413,Manhattan
8802,846 P-1MELRO,Melrose Commons Site 62 Park Construction,"This project will construct a park at Melrose Commons Site 62, including a synthetic turf field, adult fitness equipment, a dog run, seating areas, drinking fountains, lighting, fences, pavement, plantings, and drainage.",procurement,100,5,0,02/01/2019 12:00:00 AM,02/01/2020 12:00:00 AM,,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,,,,,,,Between $5 million and $10 million,Michelle Martell,07/11/2021 12:00:00 AM,Mayoral,Melrose Avenue between East 162nd Street and East 163rd Street,X350,40.825107,-73.912769,Bronx
1004111,846 P-4PL15A1,Arrow Recreation Center Playground Reconstruction,This project will reconstruct the playground at Arrow Recreation Center.,completed,100,100,100,03/01/2015 12:00:00 AM,08/01/2015 12:00:00 AM,,09/01/2015 12:00:00 AM,04/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,,09/01/2016 12:00:00 AM,03/01/2017 12:00:00 AM,08/01/2017 12:00:00 AM,04/01/2018 12:00:00 AM,03/01/2018 12:00:00 AM,"$150,000",Joanne Amagrande,07/11/2021 12:00:00 AM,Mayoral,,Q470,40.755839,-73.926293,Queens
7121,,Abe Stark Ice Rink Reconstruction (Hurricane Sandy),"This project will reconstruct mechanical & electrical controls, fire alarm systems, boilers & dehumidifiers damaged by Hurricane Sandy.",proposed,0,0,0,,,,,,,,,,,,,Between $1 million and $3 million,,07/11/2021 12:00:00 AM,"Mayoral, Federal",,B336,40.57374694,-73.98560278,Brooklyn
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,735,000",Cristin Leoutsakos,07/11/2021 12:00:00 AM,Mayoral,E 156 St bet Tinton Av & Union Av,X216,40.817299,-73.904724,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,735,000",Cristin Leoutsakos,07/11/2021 12:00:00 AM,Mayoral,Rockaway Boardwalk bet B 60 St & B 59 St,Q162E,40.58915,-73.789019,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,735,000",Cristin Leoutsakos,07/11/2021 12:00:00 AM,Mayoral,"Grand Central Parkway., Whitestone Expressway between 111 Street and College Point Boulevard, Park Drive E",Q099,40.753564,-73.838031,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,735,000",Cristin Leoutsakos,07/11/2021 12:00:00 AM,Mayoral,Health Place & Highland Boulevard,Q020,40.683167,-73.892921,"Bronx, Queens"
