"","Zipcode","AGI_bin","Returns","AGI","Tot_income","mean_agi","mean_total"
"14",10001,"",16150,2906435,2942370,179.965015479876,182.190092879257
"22",10002,"",42400,2718913,2752450,64.1253066037736,64.9162735849057
"30",10003,"",29270,8191737,8287499,279.868021865391,283.139699350871
"38",10004,"",2470,944925,955503,382.560728744939,386.843319838057
"46",10005,"",6160,2603668,2626833,422.673376623377,426.433928571429
"54",10006,"",2510,577145,585145,229.938247011952,233.125498007968
"62",10007,"",3760,2910802,2936519,774.149468085106,780.989095744681
"70",10009,"",33200,2948597,2983165,88.8131626506024,89.8543674698795
"78",10010,"",17400,4542337,4599251,261.053850574713,264.324770114943
"86",10011,"",30370,9331779,9461489,307.269641093184,311.540632202832
"94",10012,"",12830,3646355,3688961,284.205378020265,287.526188620421
"102",10013,"",15380,7947938,8022932,516.77100130039,521.647074122237
"110",10014,"",19080,6795181,6868495,356.141561844864,359.984014675052
"118",10016,"",33510,8000771,8087584,238.757714115189,241.348373619815
"126",10017,"",12280,4417331,4462580,359.717508143322,363.402280130293
"134",10018,"",7030,3964454,3989060,563.933712660029,567.433854907539
"142",10019,"",26810,8005583,8090224,298.604364043267,301.76143230138
"150",10021,"",23600,12798847,12933787,542.324025423729,548.041822033898
"158",10022,"",20440,14226340,14339701,696.004892367906,701.550929549902
"166",10023,"",34740,12391069,12565934,356.680166954519,361.713701784686
"174",10024,"",30640,13806195,13991261,450.593831592689,456.63384464752
"182",10025,"",46250,8028810,8177899,173.595891891892,176.819437837838
"190",10026,"",18420,1440633,1461439,78.2102605863192,79.3397937024973
"198",10027,"",27710,1972417,1997235,71.1806928906532,72.0763262360159
"206",10028,"",25670,10128983,10258220,394.584456564083,399.619010518115
"214",10029,"",35410,2022052,2046123,57.1039819260096,57.7837616492516
"222",10030,"",13950,645026,652238,46.2384229390681,46.7554121863799
"230",10031,"",29390,1401061,1418117,47.6713507995917,48.2516842463423
"238",10032,"",29400,1270384,1285587,43.2103401360544,43.7274489795918
"246",10033,"",27090,1360083,1378138,50.2060908084164,50.872572905131
"254",10034,"",19890,1019289,1029919,51.2463046757164,51.7807440925088
"262",10035,"",15570,833400,841501,53.5260115606936,54.0463070006423
"270",10036,"",19180,4568142,4604277,238.172158498436,240.056152241919
"278",10037,"",10620,570270,574820,53.6977401129944,54.1261770244821
"286",10038,"",13000,1953888,1974778,150.299076923077,151.906
"294",10039,"",13270,586050,591461,44.1635267520723,44.5712886209495
"302",10040,"",21550,1037660,1050052,48.1512761020882,48.7263109048724
"310",10044,"",4570,472585,477496,103.410284463895,104.484901531729
"318",10065,"",16180,8892119,8972619,549.574721878863,554.55
"326",10069,"",3170,1777529,1802040,560.734700315457,568.466876971609
"334",10075,"",14390,6848124,6924191,475.894649061848,481.180750521195
"342",10128,"",33540,12570244,12736382,374.78366129994,379.737090041741
"350",10162,"",730,203692,206430,279.030136986301,282.780821917808
"358",10280,"",4330,1047685,1061933,241.959584295612,245.250115473441
"366",10282,"",2380,1442366,1454161,606.036134453782,610.992016806723
"374",10301,"",18280,1369609,1383964,74.9239059080963,75.7091903719912
"382",10302,"",8280,458236,461098,55.3425120772947,55.6881642512077
"390",10303,"",12440,594095,597620,47.7568327974277,48.040192926045
"398",10304,"",20440,1515252,1530406,74.1317025440313,74.8730919765166
"406",10305,"",19850,1278252,1289748,64.3955667506297,64.9747103274559
"414",10306,"",27730,2132001,2152113,76.8842769563649,77.6095564370718
"422",10307,"",6580,657079,663352,99.8600303951368,100.813373860182
"430",10308,"",13810,1124965,1132647,81.4601737871108,82.0164373642288
"438",10309,"",15510,1420600,1433875,91.5925209542231,92.4484203739523
"446",10310,"",11670,776063,782423,66.5006855184233,67.0456726649529
"454",10312,"",29720,2582965,2604642,86.9099932705249,87.6393674293405
"462",10314,"",41630,3085380,3111815,74.1143406197454,74.7493394186885
"470",10451,"",24060,857426,863611,35.6369908561929,35.8940565253533
"478",10452,"",36950,1129896,1139059,30.5790527740189,30.8270365358593
"486",10453,"",38230,1118282,1127422,29.2514255820037,29.4905048391316
"494",10454,"",15940,488519,492354,30.647365119197,30.8879548306148
"502",10455,"",18200,574656,578738,31.5745054945055,31.7987912087912
"510",10456,"",41000,1209535,1219463,29.5008536585366,29.743
"518",10457,"",33580,997507,1005633,29.7053901131626,29.9473793924955
"526",10458,"",34930,1116373,1125438,31.9602920125966,32.2198110506728
"534",10459,"",21680,678052,683174,31.2754612546125,31.5117158671587
"542",10460,"",26260,826025,832168,31.4556359482102,31.6895658796649
"550",10461,"",24870,1346454,1356081,54.1396863691194,54.526779252111
"558",10462,"",40210,1795269,1808168,44.6473265356876,44.9681173837354
"566",10463,"",34570,2432458,2457777,70.3632629447498,71.0956609777264
"574",10464,"",2210,212670,215270,96.2307692307692,97.4072398190045
"582",10465,"",19990,1287456,1294684,64.4050025012506,64.7665832916458
"590",10466,"",32980,1388485,1396337,42.1008186779867,42.3389023650697
"598",10467,"",45670,1714750,1726845,37.5465294504051,37.8113641340048
"606",10468,"",36480,1203575,1212938,32.992735745614,33.2493969298246
"614",10469,"",32960,1593018,1602986,48.3318567961165,48.6342839805825
"622",10470,"",7810,435453,438470,55.7558258642766,56.1421254801537
"630",10471,"",10140,1390724,1409483,137.152268244576,139.002268244576
"638",10472,"",29380,971500,978864,33.0667120490129,33.3173587474472
